Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),0.051272392780674865,0.10738293924883877,0.4774724284819697,0.6331306132800474,-0.15945062868708412,0.26199541424843387
D,2.111178923452939,0.06387313360012939,33.0526906143315,2.8052261437027534e-162,1.9858374139265207,2.236520432979357
x1,0.44870632875641453,0.03144952532493941,14.267507191931807,3.7087064691457856e-42,0.386991320333699,0.5104213371791301
x2,-0.324262098455728,0.016249990678346423,-19.954602120961,8.83550001659759e-75,-0.3561502844051651,-0.2923739125062909
x3,0.20154957764453782,0.01115263350977485,18.071926910167672,2.3755104452075075e-63,0.17966419578647186,0.22343495950260378
